,comment_date,user_reviews,recommended or not,spent_hours,hold_products
165,November 29,"['Love this game, and loved it more with the new updates.', '', 'Got bored anyway because this game feels???????????????']",Recommended,308,9
166,November 29,"['it is just getting boring after time,even with friends.But still better than fortnite']",Not Recommended,273.4,41
167,December 1,"['Awesome game! Highly reccomended, as long as you have a good gaming rig. The devs have continued to make positive changes for the games stability and balance. Been playing it since day 1!']",Recommended,783.1,61
168,December 3,"['Well this is a great game!', '', 'I really like them adding new skins every single day, i spent all my money on the John Wick skin.', 'My favorite place to drop is Tilted Towers! I really like playing this game with my friends and family. Kid friendly combat.', '', 'But pls give me back the double pump', '', '', '', '', '', '', '', '1990219209190/1290192090 how to??????????????????people off']",Recommended,43.7,18
169,December 3,"['I played the??????????????????out of this game. It was fun. But it seems with every update, the game runs worse and worse. they keep adding qof improvements and new weapons/content, but they seem to prioritize that over stabilizing the game. I have a gtx 1070 and i7 6700k. not the best, but I shouldn\'t have to choose between clay-mation Rudolph and a frame dropping ""this is why we don\'t use unreal engine for open world games"" 15 fps slideshow.']",Not Recommended,"1,082.30",75
170,December 1,['Game is good and stable but there are some glithes here and there...'],Recommended,15.8,2
171,November 28,['PLIIIIIISS RETURN OF THE SKINS SHROUD CREAT'],Recommended,644,7
172,November 29,"['Product received for free', '', '6/10 game.. i do recommend']",Recommended,85.7,40
173,December 1,['So far good but bugs a big???????????????problem'],Recommended,0.9,9
174,December 1,['It has some bugs but pubg is slowly fixing them. Very fun game especially with friends'],Recommended,494.1,36
175,December 1,"[""I'm a simple guy. I like shoot, but I'm bad. 10/10 would bend over for the chinese warlords again.""]",Recommended,42.6,61
176,November 28,['Negative 17000 points for what ? WTF did I do to get negative ? its been like this for a month!!!!! fix your game bluehole...'],Not Recommended,352.5,26
177,November 29,['Anata wa? baka ???????????????'],Recommended,922,10
178,November 29,"['30$ wasted didnt even played, not even starts. Fix your problems.']",Not Recommended,6.8,3
179,November 29,"['This game was fun, then it became a loot crate s#*t festival! Pay $10 for these pants or $15 for this gun skin. Meanwhile gameplay took a dive, bugs were never resolved and all new content centered around more new skins and gear which PUBG could be sell for more cash. Fortnite is free to play and makes money through skins etc. This game is pay to play, then pay more to play, then die a billion times due to some messed up game design. So much for the early days when crates could just be opened for fun and enjoying the game.', '', 'RIP PUBG! It was fun, moving on now.']",Not Recommended,376.4,108
180,November 29,"['Product received for free', '', 'oh god no, run']",Not Recommended,221.1,96
181,November 29,['bad'],Not Recommended,0.3,37
182,November 29,"['Love this game, and loved it more with the new updates.', '', 'Got bored anyway because this game feels???????????????']",Recommended,308,9
183,November 29,"['it is just getting boring after time,even with friends.But still better than fortnite']",Not Recommended,273.4,41
184,December 5,"['Product received for free', '', 'This game is awesome <3']",Recommended,431.2,3
185,December 3,"[""PLAYERUNKNOWN'S BATTLEGROUNDS is a sick practical joke played by the company Bluehole. The game was released in late March 2017 in its alpha state, meaning still in early development. During release, the game was borderline unplayable but it was okay because it was still early access, and was still, for the most part, an enjoyable game to play with your friends. Thankfully, Bluehole decided to add emotes to the game around March 2018 as a response to the plethora of bugs in the game."", '', ""Let's fast forward to September 2018 when PUBG finally came out of alpha stage to 1.0."", '', ""PUBG, otherwise known as 'Plunkbat' by the baboon RockPaperShotgun reporters, had yet to have any significant fixes after its 1.0 release. The game mechanics sucked, cheaters filled every server, bugs were still abundant, and many players would get banned for doing nothing. The game was and has been an abomination since release."", '', 'Fortunately for us gamers, Bluehole finally decided to step up their game after two entire years and fix their game with their all-new campaign ""FIX PUBG""! This campaign was designed to fix the game entirely to give players some hope in fixing their beloved PUBG.', '', 'Bluehole has done almost nothing but add more anti-cheat to the game since the beginning of FIX PUBG. They have done almost nothing for its players other than give BP as compensation for how much they suck at developing a decent playable game. PUBG is no longer an enjoyable game. I have yet to see any improvement other than some game mechanics and less cheaters. Its only purpose is for something to do in the background while you talk to your friends.', '', 'The funniest thing about this EPIC new campaign is that instead of actually fixing the game...', '', '...they added more emotes.', '', 'I give this game a 0/10.']",Not Recommended,889.1,134
186,November 30,['The items are temporary.'],Not Recommended,248.2,43
187,November 29,['<3'],Recommended,69,6
188,December 1,"['OG Battle Royale. It has gotten better since release, but still has some work to be done']",Recommended,51.3,12
189,November 30,"['if you are bad, practice then. stop ????????????ing blame others and talking?????????????????? when you think im hacker, think about why the ???????????? you are so bad. So disappointed about this game enviroment. The reason writing in english is because you people are the most mad guys and like talking?????????????????? Learn something, learn how to palya a ????????????ing game and stop blaming why everyone is better than you and think everyone is hacker.', '', '??€??????????????????????????????????????€??????????????????????????€???????????????????????????????????€????????????????????€?????????????????????????€???????????????????????????????????????????????????????????????????????????????????????€???????????????????????????????€?']",Not Recommended,"1,460.30",19
190,November 29,"['WHY DO I ONLY GET FLIPPING PISTOLS?!', 'BAD GAME']",Not Recommended,70.2,13
191,December 3,['someone told me this game is gay'],Not Recommended,41,90
192,November 30,['The items are temporary.'],Not Recommended,248.2,43
193,November 29,['????????????'],Not Recommended,24.5,90
194,December 4,['Second game I joined I met a hacker :('],Not Recommended,0.3,75
195,November 28,"[""This game is one of the best game i've ever played in my life!""]",Recommended,861.7,36
196,November 28,['Parada'],Recommended,38.2,59
197,November 28,['hi'],Recommended,46.7,5
198,November 28,"['They say FIX PUBG Campaign was successful, nope it is not. Performance issues, bugs, stuttering, region lock and more. With every update they add skins, emotes (more microtransactions) without fixing current issues. It just does not FEEL POLISHED, you gotta wait for like 2-3 minutes in the lobby to get to the plane and jump off. Your framerate will take a huge dip if players land on the same looting arena, which makes you vulnerable to die first without even getting a chance to pick up a gun. The input lag is real, the movements does not feel smooth. Sometimes I wonder how it even got out of alpha stage and get a full release. I have a decent PC to run PUBG but still optimization of this game leaves so much to be desired. An ""Esports-Ready"" game should be running at more than 60FPS constant(which it does), but again the occassional stutters and dips in framerates are just intolerable. Even a newer AAA release like COD Black OPS IV rusn butter smooth on my PC with a decent graphics quality. Well I have less than 150 hours in this game and honestly I am not a pro but IF A GAME IS NOT FUN THEN WHY BOTHER? Crate system in this game is an absolute disaster, for which you gotta pay with real money to get a key and open certain crates. But in good ways, this game is addictive once you start to play it and you end up playing several hours of it. Just FIX THE ENTIRE GAME and you are good to go.']",Recommended,133.1,11
199,November 28,"['Worst game ever. The controls feel slow and awful. Fps isnt the isue i have 160 medium but thats bad optimization for my pc,']",Not Recommended,1.1,10
200,November 28,"['They say FIX PUBG Campaign was successful, nope it is not. Performance issues, bugs, stuttering, region lock and more. With every update they add skins, emotes (more microtransactions) without fixing current issues. It just does not FEEL POLISHED, you gotta wait for like 2-3 minutes in the lobby to get to the plane and jump off. Your framerate will take a huge dip if players land on the same looting arena, which makes you vulnerable to die first without even getting a chance to pick up a gun. The input lag is real, the movements does not feel smooth. Sometimes I wonder how it even got out of alpha stage and get a full release. I have a decent PC to run PUBG but still optimization of this game leaves so much to be desired. An ""Esports-Ready"" game should be running at more than 60FPS constant(which it does), but again the occassional stutters and dips in framerates are just intolerable. Even a newer AAA release like COD Black OPS IV rusn butter smooth on my PC with a decent graphics quality. Well I have less than 150 hours in this game and honestly I am not a pro but IF A GAME IS NOT FUN THEN WHY BOTHER? Crate system in this game is an absolute disaster, for which you gotta pay with real money to get a key and open certain crates. But in good ways, this game is addictive once you start to play it and you end up playing several hours of it. Just FIX THE ENTIRE GAME and you are good to go.']",Recommended,133.1,11
201,November 28,"[""I literally bought a PC when this game came out just to play it. Now my PC is not a super PC by anymeans (1050 TI, i5 7400 & 16gb Ram) but the game worked. I don't know what has happend to this game and its servers but it is literally unplayable now. Frame dropps are insane and lag is rediculous. Please if you intend on getting this game at this point and time save the money and dont buy it. Maybe if they decide to actually fix the game for real I'll redownload and play it again, but as of today I am uninstalling this game and hate that I am so angry at this product I'm writing a bad review because I never have."", '', 'Thanks Bluehole, hope you see this. (Probably wouldnt care how I/we feel even if you did.) Prove me wrong']",Not Recommended,732.1,22
202,November 28,['Parada'],Recommended,38.2,59
203,November 28,['hi'],Recommended,46.7,5
204,November 28,"['Worst game ever. The controls feel slow and awful. Fps isnt the isue i have 160 medium but thats bad optimization for my pc,']",Not Recommended,1.1,10
205,November 27,['Do not get servers will be down 110 percent of the time.'],Not Recommended,6.8,2
206,November 28,"['Do not buy this game, so many fckin chinese hackers. Go???????????????ur self']",Not Recommended,186.8,19
207,November 28,"[""Worst ?????????????????? game i've ever played in my entire life. Would rather have a toaster bath rather than playing this??????????????????of a game.""]",Not Recommended,19.4,35
208,November 28,"['this game runs horriblely on my computer. I tried everyting to make it run smooth. I have a gtx 1060 with 16 gigs of ram and I barely get 10 frames a second.', '', 'I honestly wish I could get my money back.']",Not Recommended,276.8,4
209,November 28,"['Product received for free', '', 'good game']",Recommended,268,6
210,November 29,['pubg so good but dota2 is enother thing]'],Recommended,118.4,1
211,November 29,"[""Awesome game needs less requirements to run it'll be good""]",Recommended,107.4,2
212,November 29,"[""It's an awesome game""]",Recommended,1.6,1
213,November 29,['this game ill work fine if without hackers !!!'],Not Recommended,998.7,14
214,November 30,['Best game ever!!!'],Recommended,2.8,15
215,November 30,['Love it'],Recommended,61.3,2
216,November 30,['This game is amazing!!!!!!!! So much fun.'],Recommended,7,2
217,November 30,['???????????? my friends for forcing me to play this game and ???????????? this game'],Not Recommended,378.3,152
218,November 30,['nice pubg'],Recommended,"1,006.70",5
219,November 29,"['Product received for free', '', ""This game was so much better before. Don't waste $30 on it now. They can't fix literally anything about the game. So many updates explain how they fix fps drops and desync. But then it actually doesn't change. Also, they work on the stupidest things. They explain in the patch notes that they fixed fps drops in the vanity section. Why not fix the ACTUAL FPS DROPS IN THE ACTUAL GAME?""]",Not Recommended,818.8,11
220,November 30,['im staying in hostel brought this game for laptop just played 3games and pc players started destroying me so realised refunded relaxing'],Not Recommended,2.1,0
221,November 30,['good game lot of fun with friends or not I have no firends so'],Recommended,334.6,10
222,December 1,['solo in this game is very boring but squads or dou are werry interesting and funny'],Recommended,7.3,8
223,December 1,['very good'],Recommended,"1,736.00",3
224,November 29,['this game ill work fine if without hackers !!!'],Not Recommended,998.7,14
225,November 29,['great game'],Recommended,48.9,23
226,November 28,"['Product received for free', '', 'good game']",Recommended,268,6
227,November 28,"[""Well, if it would run for more than 5 minutes or even load on the other occasions, I'd review it.""]",Not Recommended,3.9,140
228,November 30,['This game is amazing!!!!!!!! So much fun.'],Recommended,7,2
229,December 2,"[""While i would agree with many that the game has only gotten worse since the release of 1.0, the game doesn't deserve as much hate as it gets now. The game was alot simplier and overall just more fun with far less issues in beta, which is where most of my hours come from. I would prefer to go back to beta, so that there isn't the feeling of a company so desperate to squeeze every bit of money out of this game as they could. (They promised never to add microtransactions, which they did. They also added items which are only unlocked for a set amount of time before being revoked.) I play in the EU and almost never encounter any cheaters, but i can't speak for asian or NA players who apparently regularly encounter chinese hackers. However, as i stated at the beginning, the game does not deserve as much hate as it currently gets. The optimization is far better than it ever has been (i have a mid spec pc and can run this on high/ultra at 100fps+) They have improved the UI and added alot of QOL features which can be toggled on/off. They massively fixed the dsync that everyone constantly complained about (for the most part, you still get the odd instance but it is rare now.) I also more or less never experience any game crashes now either, which used to/still is problem for some, although saying that it isn't anywhere near as bad as it used to be. The overall feeling of the game is that it's good, feels fun to play, is quite smooth and entertaining, especially with a group of friends. But there is always the underlying feeling of a company that just doesn't care about the community, as they ignore/put off fixing the main issues of the game as they would rather add new weapon/player cosmetics. And as i stated, some of these expire once aquired. You can't help but feel dissapointed in PUBG, especially as someone who put so much time into the beta. I played it when it was incredibly unoptimized, experienced frequent crashes, put up with countless numbers of bugs. Each new update greatly improved the game, and pubg's number rised. I thought it was going to be one of the most popular games on steam for quite a long time. Until the release of 1.0, and ever since then, i just continued to lose faith in bluehole. I would reccommend trying it out again if you played it before but decided to take a break. However, as for purchasing, i'm not entirely sure. I think you should make your own mind up."", '', 'TL;DR:', ""It's still a fun game, especially with a group of friends, not as bad as almost everyone claims, and is far more polished than it was in beta. But as with everything, still has it's problems.""]",Recommended,508.6,68
230,November 30,['the best Battle Royal Game!'],Recommended,50.6,4
231,December 2,['my pubg is not working correctly idk what is going on it says 0*05cs.....'],Not Recommended,2,5
232,December 2,"['?????????????????€?????????????????????', 'cnm']",Not Recommended,891.2,7
233,December 2,['PUBG for life'],Recommended,"3,006.80",26
234,December 2,['IT WAS INTENSE!!! Good Get Gaming! GG'],Recommended,34.3,8
235,December 2,['great game'],Recommended,463.8,17
236,December 2,['good game actually'],Recommended,10.1,1
237,November 28,['oof'],Not Recommended,306,56
238,November 29,"['Product received for free', '', ""This game was so much better before. Don't waste $30 on it now. They can't fix literally anything about the game. So many updates explain how they fix fps drops and desync. But then it actually doesn't change. Also, they work on the stupidest things. They explain in the patch notes that they fixed fps drops in the vanity section. Why not fix the ACTUAL FPS DROPS IN THE ACTUAL GAME?""]",Not Recommended,818.8,11
239,November 30,"['Best Battle Royale Game!', '', 'Best battle royale game in my opinion, I love everything with it.', 'They have some amazing maps, good graphics, good servers and good shooting mechanics etc.', 'It\'s a ""must have"" game, I don\'t play it often but sometimes I just crave it and need to play it.', '', ""I'm not saying that it's perfect, it do have some minor bugs but nothing that make you lose a whole match or something like that,"", '', 'conclusion: Amazing battle royale game, highly recommended. Is it worth the full price you might ask, I would probably say yes, if you have some money to spend. It really is a good game.', '', 'I rate: 8/10']",Recommended,37.3,65
240,November 29,['getting bored with this game and also my BP minus i dont know what happen. pls fix soon'],Not Recommended,455.7,35
241,December 2,"['Its boring,Blackout is better...']",Not Recommended,12.3,90
242,November 28,['piece of??????????????????game. so many bugs and the devs dont fix it. ???????????? u guys. bad game'],Not Recommended,765.9,12
243,November 28,['There was a time I thought PUBG>Fortnite... little did I know PUBG turned into this??????????????????'],Not Recommended,77.1,26
244,November 28,['Still full of bugs and million of hackers....'],Not Recommended,"1,608.00",44
245,November 29,"['Not bad, but sometime when I play the game suddenly closed. Also there is some issue with crackling sound.']",Not Recommended,68.3,48
246,November 29,['The pubg Has crashed and when i will recconect the match i cant recon plsss FIXX pubg'],Not Recommended,197.2,1
247,November 30,['what happen ? i cant access the game its says that i need to buy it AGAIN !?'],Not Recommended,131.8,4
248,November 29,"['Product received for free', '', 'somehow the latency in game when encountering enemies are high, i have all the requirement minimum on cpu and recommended on gpu. Not very optimized indeed, pity it is a great idea borrowing from japanese flick Battle Royale. Work it out you lazy dev. i have this gifted from MSI GA. thanks a bunch MSI.']",Not Recommended,10.8,9
249,November 30,"['Definitely one of my favourite battle royale games and one of the first to do it well!', 'The only real problem I have with it, is the biggest problem in gaming in general. Its pretty much unplayable, it seriously needs optimisation!', '', 'It takes forever to load in as well as to load the textures themselves when in-game, on any graphical detail setting; taking much needed looting time away from the game. I honestly would think a GTX 1050, 8BG DDR4 RAM and i7 4400HQ should do the trick, but apparently not. PLEASE OPTIMISE!', '', '~ It is a great game, it simply cannot run well! At all! ~']",Not Recommended,29.8,"1,284"
250,December 2,"['Fortnite PC solo total kills: 0', '', 'Blackout solo total kills: 1', '', 'PUBG solo total kills: 4', '', 'PUBG>Blackout&Fortnite']",Recommended,5,42
251,December 3,['Addicted ????????'],Recommended,3.3,7
252,December 3,['Love & hate relationship.'],Recommended,899.3,18
253,December 1,['solo in this game is very boring but squads or dou are werry interesting and funny'],Recommended,7.3,8
254,December 1,['very good'],Recommended,"1,736.00",3
255,December 1,['aahh still better than PUBG mobile :)'],Recommended,46.5,27
256,November 28,['Not good game!'],Not Recommended,29.1,18
257,December 2,"[""While i would agree with many that the game has only gotten worse since the release of 1.0, the game doesn't deserve as much hate as it gets now. The game was alot simplier and overall just more fun with far less issues in beta, which is where most of my hours come from. I would prefer to go back to beta, so that there isn't the feeling of a company so desperate to squeeze every bit of money out of this game as they could. (They promised never to add microtransactions, which they did. They also added items which are only unlocked for a set amount of time before being revoked.) I play in the EU and almost never encounter any cheaters, but i can't speak for asian or NA players who apparently regularly encounter chinese hackers. However, as i stated at the beginning, the game does not deserve as much hate as it currently gets. The optimization is far better than it ever has been (i have a mid spec pc and can run this on high/ultra at 100fps+) They have improved the UI and added alot of QOL features which can be toggled on/off. They massively fixed the dsync that everyone constantly complained about (for the most part, you still get the odd instance but it is rare now.) I also more or less never experience any game crashes now either, which used to/still is problem for some, although saying that it isn't anywhere near as bad as it used to be. The overall feeling of the game is that it's good, feels fun to play, is quite smooth and entertaining, especially with a group of friends. But there is always the underlying feeling of a company that just doesn't care about the community, as they ignore/put off fixing the main issues of the game as they would rather add new weapon/player cosmetics. And as i stated, some of these expire once aquired. You can't help but feel dissapointed in PUBG, especially as someone who put so much time into the beta. I played it when it was incredibly unoptimized, experienced frequent crashes, put up with countless numbers of bugs. Each new update greatly improved the game, and pubg's number rised. I thought it was going to be one of the most popular games on steam for quite a long time. Until the release of 1.0, and ever since then, i just continued to lose faith in bluehole. I would reccommend trying it out again if you played it before but decided to take a break. However, as for purchasing, i'm not entirely sure. I think you should make your own mind up."", '', 'TL;DR:', ""It's still a fun game, especially with a group of friends, not as bad as almost everyone claims, and is far more polished than it was in beta. But as with everything, still has it's problems.""]",Recommended,508.6,68
258,November 30,['Best FPP game for me so far.'],Recommended,503.1,7
259,December 2,"['Product received for free', '', 'I liked the game so far, 11/10']",Recommended,14.3,1
260,December 1,['This game is the greatest game in steam which is equals to rubbish.It can help you to waste your money because it never let you to play the game . O3O'],Not Recommended,810.1,5
261,December 2,"['?????????????????€?????????????????????', 'cnm']",Not Recommended,891.2,7
262,November 28,['Waste of money'],Not Recommended,2.2,47
263,December 4,"[""Seems like a nice game but some times it won't even load the match. I hope you fix the optimization. But for now i'll give it a no until you fix it""]",Not Recommended,1.1,5
264,December 4,['cant able to play. the game is not running... please help anybody'],Not Recommended,0.8,42
265,December 4,"['A lot of bugs, The best of kind (Battle royal)']",Recommended,798.5,110
266,December 4,['love it'],Recommended,4,1
267,December 1,['PUBG MOBILE is so much better'],Not Recommended,7.2,9
268,December 1,"[""In the recent months, this game has gone down hill. They have been banning people at random, including me. They said i had cheated on November 19, when i haven't played the game since June. This had been happening to many innocent people, including some that have never played the game before. At the time of December 2nd, 2018, i would not reccomend buying this game.""]",Not Recommended,102.7,19
269,December 4,"[""Fun, but blue area way to fast and makes too much dmg. Can't outrun or outswim usually."", 'Love the MC and fast cars, but have to know where to find one. Need more vehicles.', 'Nice game if you like it fast paced, not so much if laid back.', ""Miss the 'killed by blue wall' count."", ""I'd give it 4 out of 5. Keeper for fast short games when bored.""]",Recommended,295.5,6
270,November 29,['The pubg Has crashed and when i will recconect the match i cant recon plsss FIXX pubg'],Not Recommended,197.2,1
271,November 30,['what happen ? i cant access the game its says that i need to buy it AGAIN !?'],Not Recommended,131.8,4
272,December 2,['a nice try to make a game'],Not Recommended,183.8,36
273,November 28,['Not good game!'],Not Recommended,29.1,18
274,November 28,['Waste of money'],Not Recommended,2.2,47
275,December 4,"['A lot of bugs, The best of kind (Battle royal)']",Recommended,798.5,110
276,December 4,['love it'],Recommended,4,1
277,December 1,['PUBG MOBILE is so much better'],Not Recommended,7.2,9
278,November 30,"['Definitely one of my favourite battle royale games and one of the first to do it well!', 'The only real problem I have with it, is the biggest problem in gaming in general. Its pretty much unplayable, it seriously needs optimisation!', '', 'It takes forever to load in as well as to load the textures themselves when in-game, on any graphical detail setting; taking much needed looting time away from the game. I honestly would think a GTX 1050, 8BG DDR4 RAM and i7 4400HQ should do the trick, but apparently not. PLEASE OPTIMISE!', '', '~ It is a great game, it simply cannot run well! At all! ~']",Not Recommended,29.8,"1,284"
279,December 4,"[""Fun, but blue area way to fast and makes too much dmg. Can't outrun or outswim usually."", 'Love the MC and fast cars, but have to know where to find one. Need more vehicles.', 'Nice game if you like it fast paced, not so much if laid back.', ""Miss the 'killed by blue wall' count."", ""I'd give it 4 out of 5. Keeper for fast short games when bored.""]",Recommended,295.5,6
280,December 5,"['Feels SLOW and of course laggy', ""Ain't worth the buck.""]",Not Recommended,1.3,16
281,December 4,"[""Seems like a nice game but some times it won't even load the match. I hope you fix the optimization. But for now i'll give it a no until you fix it""]",Not Recommended,1.1,5
282,December 4,['cant able to play. the game is not running... please help anybody'],Not Recommended,0.8,42
283,November 28,['Waste of money'],Not Recommended,2.2,47
284,December 1,['PUBG MOBILE is so much better'],Not Recommended,7.2,9
285,November 30,['b1g gay xdxd'],Recommended,0.5,31
286,December 5,['love it <3'],Recommended,38.9,5
287,December 5,['best battle ground now improve more and more'],Recommended,3.4,2
288,December 5,['Bad game.'],Not Recommended,274.2,98
289,December 5,"['survival rewards only give the same items every 10 levels. i have 3 of the same pink shirt, 3 miramar biker jacket, 2 biker shades, 2 biker bone masks. working hard for survival rewards not worth it. terrible excuse for a dying game']",Not Recommended,578.5,3
290,December 5,['Bad game.'],Not Recommended,274.2,98
291,December 5,['execellen game'],Recommended,242.8,1
292,December 5,['This game is death nothing new and more issues about thier Fix PUBG show me nothing'],Not Recommended,408.7,22
293,December 5,['how to refund this'],Not Recommended,68.8,11
294,December 5,['garbage a$$ game'],Not Recommended,392,89
295,December 5,"['Product received for free', '', 'PUBG \\m/']",Recommended,4.7,2
296,November 29,['The game sucks I refunded it after playing 3 games. The game is NOT fun.'],Not Recommended,0.8,72
297,November 28,['One of the best games ever!'],Recommended,10.3,5
298,November 30,"[""Honestly, I don't know how this game is still relevant, the tick rate of the server so bad it is comparable to tossing a coin to see if you are going to hit the enemy or not. If you are into BattleRoayle, go for it, but try not to get frustrated by things that are out of your control. I won't even touch the problems the game had on its release, since most of them are fixed nowadays, but the user experience that I had overall is one of the worst. Also, one thing that bother me is that your character movement feels like you are piloting a tank. If you are used to games where you have better control over your character like Counter-Strike: Global Offensive, Battlefield 4, or Rainbow Six: Siege, you will find it really annoying.""]",Not Recommended,223.3,60
299,November 27,"[""This is lame, I paid this game but I can't enter the game because it's busy???? I tried to reconnect it for a couple of times, I restarted my laptop many times, but I can't play this game until now..""]",Not Recommended,31.7,1
300,November 28,['One of the best games ever!'],Recommended,10.3,5
301,December 1,"['no US WEST server for the NA west coastal players , are you kidding me?']",Not Recommended,210.3,6
302,November 28,"['Bad game, buggy and engine is not good for a fast paced shooter.']",Not Recommended,8.9,137
303,December 2,['This game is a ????????????ing game. DirectX 3D support to 10.1 but the launcher said missing DX3D version 10. The hell'],Not Recommended,0.5,1
304,December 2,['This game is good'],Recommended,10.9,23
305,December 2,['...'],Recommended,90.7,38
306,December 5,['this game is a total piece of cr@p'],Not Recommended,0.5,51
307,December 5,['IN NEW UPDATE PLEASE ADD R.P.G 7 IN GAME TO MAKE IT MORE REALESTIC'],Recommended,124.9,1
308,November 28,"[""Very laggy, the optimization is unacceptable. I have a decent PC and this is THE ONLY game that experiences some sort of screen tearing and lag even when everything is changed to low settings, every other demanding title works perfectly on high settings. I can't recommend this game as this is very desappointing, it is not playable for me. The atmosphere however that this game creates can definitely be felt and it is a good shooter for players who want something more 'realistic'. So, the soul of the game is well presented, but the practical side of it is absolutely trash. Please fix the optimization!!!!!!!!!!!!!!!!!!!!""]",Not Recommended,21.3,72
309,December 2,"['This game is solid but has some major issues. I love it but it is frustrating at times. It has a slow pace but phenomenal gunplay. Every gun has its own bullet speed and bullet drop. There are attachments to improve accuracy, ammo capacity, recoil, and reload speed. Solid mechanics. But there are optimization and server issues still present after this game left early access. They are trying to fix these and are doing a decent job at it. Creating a game I give 8.4 I reccomend it if you can get over the current issues and be happy when they are fixed later.']",Recommended,412.5,77
310,November 30,['Fortnite is better LOLZ'],Not Recommended,267.1,31
311,November 28,['It has really good graphics(on my computer) and it has some good gameplay as well as being really smooth(on my computer)'],Recommended,2.5,1
312,November 28,['piece of s h i t e'],Recommended,157.2,64
313,November 28,['Bu oyunu bu kadar gec almama cok uzuldum ya bu kadar harika zevk verici ve kafa dagitici bir oyun bulamadim'],Recommended,20,8
314,November 29,"['Given plenty of time to fix issues, let the aussie servers die & game is still terrible after all this time, shame because its actually reallly fun.']",Not Recommended,847,38
315,November 28,"[""Actual garbage. I will never understand how this game got popular, the graphics look like?????????????????? the gameplay is a chore, and there is nothing memorable about this game aside from the time I wasted on it. Fortnite is clearly the better option if you want to play this style of game and I'm saying that as someone who is sick of watching kids do their Fortnite dances out in public.""]",Not Recommended,17,24
316,December 2,"['IF YOU WANT TO BUY THIS GAME YOU MUST FOLLOW WHAT EVERY OTHER PUBG PLAYER HAS DONE THERE ARE ONLY 3 STEPS THIS WILL BE QUICK', '1. OPEN YOUTUBE ON ANY DEVICE', '2.ON THE TOP OF YOUTUBE SEARCH UP PEWDIEPIE AND PRESS SUBSCRIBE', '3. SEARCH UP T-SERIES AND IF YOU ARE SUBSCRIBED PLEASE UNSUBSCRIBE', 'PS: IF YOU DONT BUY THIS GAME PLEASE STILL FOLLOW THESE INSTRUCTIONS']",Recommended,50.7,18
317,November 28,"['My account was stolen by thief. Thief used cheats and get ban for me.. I have all documents when and how all happen and steam support can tell this too.', 'Long and tired speak with Pubg support only thing they aswer is I am cheater and i have to pay new game to new account to play this game. I never used enything cheats or aplications and i get this??????????????????from it.', '', 'I cannot recomend this game.']",Not Recommended,212.4,74
318,November 29,"[""I really don't know how this game has mixed reviews.I am really surprised that people still find good things about the game. The game is buggy as hell, it's barely playable. I didn't enjoy any of my 60 hours in this game and I will admit it 60 hours isn't a lot but when 40 hours of the playtime is just trying to make the game work its ????????????ing a lot. bluehole deserves everything that happened to them. I am not joking when I say this you are better off buying winrar""]",Not Recommended,59,68
319,November 28,"[""I couldn't really reccomend this game to anyone you have to have a monster computer to run this game on at least medium settings. But I mean if u got a buddy with you and neither of you care about graphics and just wanna some fun I could reccomend this game. But try to play this game in burst when I first got the game I played it too much and I ended up getting burn't out on it.""]",Not Recommended,32.2,36
320,November 28,['Needs a lot of help'],Not Recommended,4.3,121
321,November 28,['bad bro.'],Not Recommended,54.5,40
322,November 28,['Loved it because it was my first battle royal but the game has not improved much at all since it came out. At this point there are other better battle royals that are cheaper also.'],Not Recommended,233,51
323,November 28,['How did I play this for 180 hours'],Not Recommended,186.8,201
324,November 28,['boring alone.'],Not Recommended,55.7,83
325,November 28,"[""Barely even touched this game and already found out it's full of trash aimbotters. Real fun. Worth $30 my???????????????""]",Not Recommended,11.9,368
326,November 28,"['I never felt so bad for some money thrown away.', 'This game is literally COW FECES.', 'FIX PUBG they say.. I like how the devs closed this campaign like everything goes well.. I wonder if they also play the game.. BECAUSE MY A*S IS FIXED.', ""First of all the game is optimized like a potato, my VGA's fans goes crazy as soon as I turn on the game (GTX 680 2 GB VRAM), at minimal graphics settings. Bugs everywhere, and sometimes the gun doesn't shoot for some reason."", ""Don't buy this game. Just play any other F2P BR, it's better, trust me.""]",Not Recommended,146.3,265
